category,order_year_month,order_year_month_date,actual_quantity,baseline_prediction,model_prediction,model_abs_error,baseline_abs_error
Furniture,2017-07,2017-07-01,183,176.0,153.88,29.120000000000005,7.0
Furniture,2017-08,2017-08-01,127,183.0,152.82,25.819999999999993,56.0
Furniture,2017-09,2017-09-01,302,127.0,211.65,90.35,175.0
Furniture,2017-10,2017-10-01,252,302.0,203.8,48.19999999999999,50.0
Furniture,2017-11,2017-11-01,364,252.0,300.54,63.45999999999998,112.0
Furniture,2017-12,2017-12-01,394,364.0,416.56,22.560000000000002,30.0
Office Supplies,2017-07,2017-07-01,459,566.0,482.69,23.689999999999998,107.0
Office Supplies,2017-08,2017-08-01,613,459.0,510.24,102.75999999999999,154.0
Office Supplies,2017-09,2017-09-01,1046,613.0,633.03,412.97,433.0
Office Supplies,2017-10,2017-10-01,652,1046.0,606.04,45.960000000000036,394.0
Office Supplies,2017-11,2017-11-01,1093,652.0,756.22,336.78,441.0
Office Supplies,2017-12,2017-12-01,1061,1093.0,769.0,292.0,32.0
Technology,2017-07,2017-07-01,198,189.0,168.29,29.710000000000008,9.0
Technology,2017-08,2017-08-01,144,198.0,135.43,8.569999999999993,54.0
Technology,2017-09,2017-09-01,312,144.0,198.72,113.28,168.0
Technology,2017-10,2017-10-01,229,312.0,208.79,20.210000000000008,83.0
Technology,2017-11,2017-11-01,383,229.0,280.66,102.33999999999997,154.0
Technology,2017-12,2017-12-01,268,383.0,418.85,150.85000000000002,115.0
